project_id,project_type,baseline_cost_millions,baseline_duration_months,soil_quality,contractor_reliability,supply_delay_rate,design_change_rate,weather_risk_index,change_orders_count,change_orders_value_millions,cost_multiplier,final_cost_millions,final_duration_months
P1052,building,574.34,25,poor,0.501,0,0.501,0.849,2,179.79,2.77,1591.02,39
P1053,building,112.07,43,good,0.76,0,0.161,0.383,0,0.0,0.852,95.52,49
P1054,bridge,379.66,68,good,0.328,0,0.396,0.168,1,26.42,0.94,356.97,86
P1055,building,309.61,44,moderate,0.687,1,0.163,0.836,1,12.72,1.88,582.05,62
P1056,road,166.07,34,poor,0.901,1,0.366,0.549,2,106.49,3.756,623.71,50
P1057,road,115.69,26,moderate,0.317,6,0.195,0.189,1,2.15,1.437,166.3,47
P1058,road,136.56,44,poor,0.678,0,0.374,0.72,0,0.0,1.579,215.59,65
P1059,road,121.85,36,moderate,0.859,0,0.332,0.511,1,8.42,1.707,208.05,46
P1060,road,117.24,28,moderate,0.856,0,0.252,0.604,0,0.0,2.613,306.36,36
P1061,road,208.48,44,poor,0.458,0,0.075,0.461,0,0.0,0.906,188.95,61
P1062,building,282.25,13,good,0.746,2,0.398,0.829,1,15.87,1.124,317.18,19
P1063,road,112.49,25,moderate,0.699,0,0.204,0.83,3,17.5,1.636,184.05,33
P1064,road,212.69,17,good,0.504,2,0.172,0.709,2,3.19,1.722,366.18,24
P1065,bridge,456.19,23,poor,0.556,1,0.258,0.105,1,36.41,1.047,477.83,33
P1066,road,205.44,14,poor,0.666,0,0.347,0.839,0,0.0,2.532,520.2,21
P1067,building,314.77,18,good,0.777,1,0.21,0.671,1,6.8,1.202,378.28,23
P1068,road,106.53,19,moderate,0.727,2,0.187,0.697,1,6.56,1.871,199.32,28
P1069,building,195.57,26,poor,0.513,0,0.134,0.363,2,2.46,1.431,279.9,36
P1070,building,329.94,40,good,0.33,0,0.216,0.879,0,0.0,0.766,252.64,53
P1071,road,189.45,44,moderate,0.732,0,0.366,0.725,3,20.44,1.876,355.49,60
P1072,road,147.18,41,poor,0.762,1,0.296,0.113,2,38.5,2.276,335.04,58
P1073,building,256.45,38,good,0.888,0,0.162,0.408,1,4.45,1.45,371.8,43
P1074,building,407.92,47,moderate,0.395,2,0.375,0.886,0,0.0,1.535,626.28,76
P1075,building,193.13,40,good,0.557,1,0.286,0.047,1,18.7,1.453,280.56,50
P1076,building,304.55,44,poor,0.84,0,0.262,0.961,0,0.0,2.804,853.86,63
P1077,road,136.88,38,poor,0.847,0,0.405,0.679,1,14.95,1.463,200.26,54
P1078,road,136.04,44,poor,0.936,2,0.307,0.631,0,0.0,3.595,489.05,68
P1079,road,230.33,15,moderate,0.413,1,0.352,0.271,2,3.97,1.037,238.83,21
P1080,building,340.42,33,poor,0.804,0,0.376,0.249,1,23.6,1.855,631.57,45
P1081,bridge,558.58,19,poor,0.772,1,0.108,0.942,1,12.71,2.84,1586.41,28
P1082,road,250.18,21,good,0.922,0,0.104,0.298,1,8.07,1.046,261.63,23
P1083,road,149.67,16,poor,0.459,4,0.427,0.776,1,14.04,1.88,281.43,30
P1084,road,194.96,21,good,0.675,1,0.057,0.393,0,0.0,1.594,310.77,26
P1085,road,131.09,44,moderate,0.808,5,0.124,0.139,0,0.0,2.878,377.24,70
P1086,building,278.57,24,good,0.797,1,0.237,0.011,2,9.57,1.139,317.34,28
P1087,bridge,382.96,48,good,0.663,0,0.323,0.544,1,14.06,1.586,607.23,59
P1088,building,254.37,47,good,0.87,2,0.236,0.976,1,10.48,2.07,526.57,65
P1089,road,188.3,35,moderate,0.416,4,0.262,0.369,0,0.0,1.72,323.91,58
P1090,road,106.99,26,good,0.429,2,0.156,0.357,0,0.0,1.013,108.42,36
P1091,building,565.07,40,moderate,0.759,1,0.655,0.344,1,4.33,1.986,1122.45,58
P1092,building,163.63,19,good,0.713,0,0.215,0.521,0,0.0,1.329,217.45,23
P1093,bridge,248.22,22,good,0.832,2,0.34,0.441,1,32.96,1.348,334.7,30
P1094,building,388.87,40,moderate,0.741,2,0.105,0.88,0,0.0,1.892,735.62,59
P1095,road,203.7,15,moderate,0.609,0,0.196,0.506,0,0.0,1.359,276.81,20
P1096,bridge,517.83,29,good,0.907,0,0.41,0.508,1,1.2,2.658,1376.45,35
P1097,road,190.82,13,moderate,0.707,0,0.103,0.138,0,0.0,0.791,150.99,16
P1098,road,147.69,38,poor,0.662,1,0.475,0.983,2,108.36,3.118,460.5,61
P1099,road,103.66,42,moderate,0.961,1,0.21,0.25,0,0.0,2.025,209.92,54
P1100,road,152.98,47,good,0.494,0,0.31,0.073,3,3.67,0.538,82.36,56
P1101,bridge,307.7,53,good,0.693,2,0.117,0.663,0,0.0,1.668,513.21,72
P1102,road,219.21,37,poor,0.8,1,0.226,0.595,0,0.0,2.607,571.54,54
P1103,bridge,380.38,60,good,0.682,1,0.477,0.415,1,4.4,1.804,686.21,79
P1104,building,175.88,38,poor,0.592,0,0.432,0.422,4,92.44,1.63,286.65,55
P1105,road,130.51,16,moderate,0.826,0,0.227,0.785,1,5.37,1.955,255.2,21
P1106,road,175.07,31,poor,0.63,1,0.197,0.196,0,0.0,1.499,262.36,44
P1107,building,195.29,22,moderate,0.864,1,0.231,0.82,1,14.67,1.405,274.41,31
P1108,road,106.82,21,poor,0.489,1,0.287,0.649,1,13.35,1.79,191.18,33
P1109,road,163.61,17,good,0.772,1,0.502,0.419,2,31.06,1.574,257.57,22
P1110,road,163.69,19,moderate,0.617,3,0.142,0.458,1,9.39,1.422,232.78,29
P1111,road,121.17,34,good,0.789,1,0.134,0.257,0,0.0,2.241,271.56,41
P1112,building,202.67,37,moderate,0.87,1,0.181,0.752,3,69.85,2.738,554.89,50
P1113,building,268.49,23,moderate,0.677,1,0.09,0.513,1,3.65,1.041,279.48,31
P1114,bridge,226.05,43,poor,0.73,0,0.327,0.321,1,35.77,1.796,405.95,60
P1115,building,139.35,24,poor,0.37,1,0.062,0.596,1,4.19,1.794,250.02,36
P1116,building,183.57,29,moderate,0.467,1,0.513,0.996,1,3.49,1.411,259.0,45
P1117,road,136.27,36,good,0.793,0,0.234,0.435,0,0.0,1.294,176.32,42
P1118,building,277.1,44,good,0.73,0,0.329,0.921,2,76.85,1.702,471.58,56
P1119,bridge,727.88,64,moderate,0.917,0,0.038,0.345,0,0.0,0.979,712.76,75
P1120,building,344.83,23,good,0.816,1,0.347,0.055,1,10.47,1.453,501.08,28
P1121,building,229.53,47,good,0.615,2,0.286,0.204,0,0.0,1.688,387.46,63
P1122,road,147.29,15,good,0.659,1,0.305,0.419,1,22.25,1.942,285.98,19
P1123,road,99.38,16,good,0.715,1,0.204,0.22,0,0.0,1.099,109.19,20
P1124,road,147.32,19,good,0.64,0,0.383,0.0,1,30.25,1.875,276.22,22
P1125,road,132.23,39,good,0.518,3,0.109,0.915,0,0.0,0.976,129.12,59
P1126,building,278.41,42,good,0.785,2,0.287,0.844,1,8.06,2.242,624.09,59
P1127,building,175.76,20,good,0.83,0,0.053,0.742,2,2.82,0.931,163.58,23
P1128,road,182.68,40,poor,0.933,1,0.094,0.168,0,0.0,1.752,320.14,54
P1129,bridge,744.78,31,good,0.759,0,0.466,0.12,3,223.94,1.111,827.78,37
P1130,road,142.1,33,good,0.869,1,0.141,0.068,2,0.27,1.344,190.94,38
P1131,road,174.28,22,moderate,0.677,0,0.107,0.724,1,7.22,1.343,234.14,29
P1132,road,195.6,34,good,0.674,0,0.231,0.929,1,0.72,1.185,231.74,43
P1133,road,126.41,12,poor,0.912,2,0.447,0.431,1,5.75,2.371,299.74,19
P1134,building,267.64,32,moderate,0.853,2,0.165,0.119,0,0.0,2.593,694.07,43
P1135,road,149.16,37,good,0.823,2,0.596,0.512,2,77.85,2.573,383.78,53
P1136,bridge,419.5,63,good,0.401,0,0.141,0.349,2,17.14,0.518,217.31,76
P1137,building,179.61,47,poor,0.746,2,0.387,0.375,0,0.0,2.627,471.84,73
P1138,road,149.88,34,poor,0.891,1,0.244,0.621,0,0.0,2.224,333.36,50
P1139,building,298.63,12,moderate,0.842,0,0.182,0.719,1,0.37,1.705,509.26,15
P1140,building,437.23,26,moderate,0.806,1,0.298,0.111,1,39.18,1.849,808.27,34
P1141,road,217.83,32,good,0.886,1,0.077,0.036,0,0.0,1.511,329.14,36
P1142,road,351.17,20,poor,0.544,0,0.195,0.994,2,28.96,1.416,497.35,30
P1143,road,109.19,20,good,0.721,1,0.181,0.233,0,0.0,1.153,125.91,24
P1144,road,210.38,21,poor,0.887,0,0.279,0.054,0,0.0,1.394,293.3,27
P1145,road,159.71,37,moderate,0.892,0,0.254,0.19,0,0.0,1.682,268.58,45
P1146,bridge,968.67,58,moderate,0.349,0,0.307,0.039,0,0.0,0.812,786.3,76
P1147,bridge,291.98,52,moderate,0.319,0,0.383,0.392,0,0.0,1.069,312.02,72
P1148,road,106.07,36,good,0.603,2,0.216,0.802,0,0.0,1.505,159.68,51
P1149,road,116.77,37,good,0.739,3,0.262,0.341,1,9.78,1.647,192.28,52
P1150,building,104.63,22,good,0.652,0,0.491,0.444,3,16.84,2.112,221.03,28
P1151,road,120.27,13,good,0.662,0,0.255,0.676,1,18.85,2.352,282.9,16
P1152,road,109.55,18,moderate,0.646,2,0.21,0.509,1,7.78,1.838,201.3,26
P1153,road,157.62,29,good,0.748,1,0.38,0.861,2,10.53,1.864,293.78,39
P1154,building,280.54,38,good,0.341,3,0.223,0.866,1,18.04,0.999,280.3,59
P1155,road,314.34,45,poor,0.855,2,0.527,0.01,5,250.71,1.947,611.94,68
P1156,bridge,590.03,44,poor,0.688,2,0.431,0.778,3,44.51,2.667,1573.81,72
P1157,building,194.27,28,poor,0.814,3,0.167,0.461,3,36.66,2.009,390.33,44
P1158,road,103.61,35,poor,0.452,0,0.191,0.989,0,0.0,1.379,142.9,53
P1159,building,297.9,36,good,0.689,1,0.412,0.483,2,135.03,2.281,679.65,47
P1160,road,87.52,18,good,0.906,2,0.359,0.987,1,20.16,2.619,229.18,25
P1161,bridge,839.31,69,moderate,0.668,1,0.424,0.755,1,218.25,2.089,1753.49,101
P1162,bridge,646.63,23,moderate,0.836,1,0.219,0.249,2,56.11,1.315,850.0,30
P1163,bridge,334.4,70,good,0.753,3,0.251,0.538,1,28.85,2.515,841.08,100
P1164,road,74.79,35,poor,0.554,4,0.198,0.992,1,9.12,2.719,203.35,63
P1165,building,420.54,44,good,0.979,1,0.195,0.858,1,5.79,1.778,747.93,56
P1166,road,141.77,40,good,0.796,0,0.144,0.097,1,2.25,0.674,95.48,44
P1167,road,243.5,33,moderate,0.943,0,0.39,0.706,1,33.61,2.158,525.41,43
P1168,road,78.43,37,moderate,0.553,4,0.277,0.346,0,0.0,1.656,129.91,60
P1169,bridge,317.43,45,moderate,0.511,2,0.294,0.007,0,0.0,1.877,595.95,64
P1170,bridge,404.28,67,good,0.838,0,0.411,0.403,1,101.01,2.376,960.71,80
P1171,road,151.23,32,poor,0.824,2,0.048,0.235,0,0.0,1.282,193.84,46
P1172,bridge,336.96,66,good,0.716,0,0.278,0.819,2,6.27,1.123,378.35,82
P1173,road,190.4,18,good,0.861,1,0.445,0.337,1,3.69,1.601,304.82,23
P1174,bridge,263.21,34,poor,0.645,2,0.095,0.828,1,3.33,1.692,445.33,54
P1175,road,140.2,31,poor,0.506,0,0.415,0.001,1,19.82,1.299,182.18,43
P1176,bridge,423.32,58,poor,0.508,2,0.281,0.308,2,13.9,1.513,640.45,91
P1177,road,182.32,31,poor,0.803,1,0.278,0.241,1,21.53,1.966,358.52,44
P1178,building,325.27,33,moderate,0.509,1,0.29,0.234,0,0.0,1.57,510.52,46
P1179,road,94.65,39,moderate,0.92,1,0.116,0.068,2,4.44,1.082,102.42,48
P1180,road,80.35,18,good,0.814,2,0.036,0.187,0,0.0,1.589,127.68,22
P1181,road,247.42,12,good,0.86,0,0.382,0.556,2,60.05,1.343,332.24,14
P1182,building,279.48,43,good,0.922,1,0.104,0.291,0,0.0,2.307,644.71,50
P1183,building,181.38,24,good,0.741,0,0.179,0.417,0,0.0,1.724,312.65,28
P1184,road,276.02,41,moderate,0.614,0,0.637,0.377,2,40.69,1.636,451.65,57
P1185,bridge,422.53,40,moderate,0.502,3,0.234,0.876,0,0.0,1.594,673.72,65
P1186,building,392.18,30,good,0.769,1,0.309,0.905,0,0.0,1.409,552.6,40
P1187,bridge,414.47,49,good,0.56,2,0.151,0.493,0,0.0,1.567,649.52,67
P1188,bridge,919.93,47,moderate,0.527,1,0.449,0.33,2,314.54,1.464,1346.73,68
P1189,road,299.51,40,good,0.544,1,0.049,0.107,0,0.0,1.056,316.3,48
P1190,road,134.35,40,poor,0.8,0,0.397,0.953,2,17.99,4.419,593.66,59
P1191,building,360.91,41,moderate,0.676,0,0.078,0.06,0,0.0,0.801,288.97,49
P1192,building,316.76,27,moderate,0.67,1,0.556,0.298,2,22.47,1.322,418.62,39
P1193,bridge,697.47,57,moderate,0.527,1,0.337,0.298,2,137.3,1.392,970.82,80
P1194,road,100.89,30,poor,0.606,0,0.109,0.32,1,4.14,1.647,166.2,41
P1195,road,195.28,29,good,0.831,1,0.24,0.164,0,0.0,1.027,200.63,35
P1196,building,373.67,12,moderate,0.438,1,0.328,0.783,1,29.11,1.563,584.09,18
P1197,building,121.09,25,moderate,0.797,0,0.15,0.122,0,0.0,1.667,201.84,30
P1198,building,152.43,13,good,0.892,0,0.189,0.635,3,23.88,0.983,149.86,15
P1199,building,108.24,39,poor,0.79,1,0.475,0.124,0,0.0,2.12,229.44,57
P1200,bridge,362.21,66,moderate,0.574,2,0.248,0.071,0,0.0,1.133,410.54,94
P1201,road,197.75,41,moderate,0.773,0,0.426,0.909,3,89.63,2.209,436.74,57
P1202,road,270.68,15,poor,0.58,1,0.315,0.19,2,36.21,1.798,486.62,22
P1203,building,252.05,12,poor,0.658,0,0.324,0.821,2,86.88,2.091,527.0,18
P1204,bridge,773.9,25,moderate,0.736,0,0.387,0.545,1,57.51,1.299,1005.05,33
P1205,road,85.45,40,poor,0.74,0,0.509,0.078,1,9.25,1.502,128.37,56
P1206,road,75.09,14,moderate,0.805,2,0.119,0.955,1,4.22,3.205,240.63,21
P1207,bridge,394.56,49,moderate,0.618,1,0.376,0.247,1,59.24,1.573,620.58,68
P1208,road,173.06,21,moderate,0.574,1,0.57,0.86,1,67.05,2.724,471.44,32
P1209,road,146.48,21,moderate,0.894,1,0.366,0.169,1,12.23,1.885,276.18,28
P1210,bridge,176.45,36,good,0.773,1,0.291,0.854,0,0.0,2.22,391.74,48
P1211,bridge,389.3,63,poor,0.857,0,0.475,0.013,3,132.29,1.615,628.77,85
P1212,bridge,239.42,51,poor,0.863,1,0.629,0.512,2,125.29,2.42,579.44,79
P1213,road,194.0,44,good,0.458,0,0.305,0.769,2,12.05,1.422,275.86,57
P1214,building,283.34,34,poor,0.86,1,0.339,0.935,1,86.75,3.796,1075.64,52
P1215,road,101.91,39,good,0.71,0,0.34,0.909,2,13.07,1.293,131.78,50
P1216,road,120.84,43,good,0.913,3,0.072,0.82,0,0.0,1.868,225.79,60
P1217,building,160.18,18,moderate,0.614,0,0.396,0.888,1,3.49,1.72,275.52,25
P1218,bridge,393.44,46,good,0.99,1,0.078,0.199,0,0.0,2.01,790.89,52
P1219,building,358.55,19,poor,0.722,0,0.35,0.284,1,67.38,1.884,675.4,26
P1220,bridge,271.97,18,poor,0.637,2,0.068,0.289,1,1.86,1.106,300.82,27
P1221,bridge,493.55,20,moderate,0.821,0,0.113,0.377,2,7.4,1.304,643.52,24
P1222,road,120.05,35,good,0.579,0,0.181,0.393,1,2.78,0.924,110.91,42
P1223,road,108.08,34,good,0.49,1,0.161,0.545,2,2.59,0.81,87.5,44
P1224,road,142.19,19,moderate,0.872,2,0.39,0.16,0,0.0,1.936,275.24,27
P1225,road,98.09,14,poor,0.805,0,0.186,0.691,0,0.0,1.761,172.77,19
P1226,building,196.08,44,moderate,0.589,0,0.079,0.168,0,0.0,0.867,169.91,54
P1227,road,91.91,39,good,0.923,3,0.15,0.31,0,0.0,1.622,149.12,52
P1228,building,536.94,19,moderate,0.822,0,0.272,0.503,0,0.0,2.333,1252.79,24
P1229,bridge,409.16,51,moderate,0.479,3,0.28,0.796,1,27.77,1.808,739.9,83
P1230,building,184.95,46,moderate,0.855,2,0.266,0.739,0,0.0,2.398,443.54,67
P1231,bridge,439.48,49,good,0.814,1,0.412,0.646,0,0.0,1.841,809.05,65
P1232,bridge,385.7,41,moderate,0.897,1,0.444,0.156,1,22.0,1.657,639.0,55
P1233,road,135.86,25,moderate,0.686,2,0.336,0.547,0,0.0,1.993,270.81,37
P1234,road,189.74,43,poor,0.665,1,0.223,0.087,0,0.0,1.458,276.56,61
P1235,building,331.29,27,good,0.745,2,0.194,0.377,2,43.45,1.483,491.38,36
P1236,road,120.04,15,moderate,0.607,0,0.583,0.414,4,22.78,1.316,158.02,21
P1237,road,117.88,32,poor,0.713,1,0.262,0.04,0,0.0,1.433,168.92,45
P1238,bridge,361.4,31,good,0.686,2,0.308,0.274,0,0.0,1.735,627.14,42
P1239,road,59.1,42,poor,0.725,0,0.165,0.956,0,0.0,1.891,111.75,60
P1240,building,133.48,29,moderate,0.773,1,0.165,0.954,2,21.4,2.086,278.44,41
P1241,building,422.74,18,good,0.59,0,0.099,0.352,1,4.03,0.949,401.35,21
P1242,building,472.48,21,good,0.951,1,0.253,0.043,4,123.72,1.529,722.24,24
P1243,road,134.34,18,moderate,0.884,1,0.173,0.179,0,0.0,1.738,233.49,23
P1244,road,186.91,44,good,0.757,1,0.198,0.392,1,10.37,1.261,235.63,54
P1245,building,277.13,34,moderate,0.445,0,0.452,0.948,3,7.8,1.321,366.22,50
P1246,road,508.54,32,good,0.86,2,0.072,0.141,0,0.0,0.958,487.28,39
P1247,building,382.92,30,moderate,0.598,0,0.152,0.764,0,0.0,1.761,674.3,40
P1248,building,232.49,30,good,0.963,0,0.278,0.109,0,0.0,1.578,366.95,33
P1249,building,166.96,47,poor,0.693,0,0.261,0.981,3,34.25,2.473,412.94,69
P1250,road,78.06,40,poor,0.583,0,0.511,0.382,2,36.5,2.11,164.72,59
P1251,road,161.0,29,poor,0.659,0,0.05,0.775,0,0.0,1.492,240.27,41
P1252,building,180.81,13,moderate,0.696,1,0.475,0.343,2,70.41,1.509,272.77,18
P1253,road,84.02,12,good,0.71,2,0.091,0.628,1,0.34,1.151,96.7,16
P1254,road,114.59,16,moderate,0.579,5,0.195,0.192,1,1.73,1.448,165.94,27
P1255,bridge,261.75,37,good,0.78,0,0.071,0.146,0,0.0,1.291,337.87,40
P1256,building,480.51,22,good,0.784,2,0.018,0.938,0,0.0,1.53,735.31,30
P1257,bridge,574.02,59,good,0.468,1,0.463,0.918,0,0.0,2.124,1219.49,85
P1258,bridge,402.14,19,moderate,0.833,1,0.135,0.887,1,29.32,1.905,766.28,26
P1259,road,268.27,14,moderate,0.657,1,0.353,0.625,1,41.64,1.503,403.14,20
P1260,bridge,416.11,40,moderate,0.577,0,0.168,0.808,1,8.32,1.055,439.19,54
P1261,building,173.38,23,good,0.72,1,0.517,0.069,0,0.0,1.209,209.62,29
P1262,road,272.94,31,good,0.762,2,0.178,0.335,1,16.12,2.034,555.19,40
P1263,bridge,500.48,22,poor,0.356,1,0.211,0.314,2,15.72,0.919,459.75,33
P1264,building,161.6,41,good,0.936,1,0.149,0.636,0,0.0,2.852,460.87,50
P1265,building,226.75,20,moderate,0.568,1,0.102,0.356,2,8.74,0.952,215.84,27
P1266,bridge,284.22,51,good,0.709,1,0.372,0.149,2,97.28,1.549,440.21,64
P1267,building,140.74,46,moderate,0.691,1,0.247,0.596,2,8.84,1.601,225.38,64
P1268,road,214.96,33,moderate,0.816,1,0.02,0.814,0,0.0,1.596,343.07,44
P1269,road,318.55,35,good,0.833,0,0.521,0.382,0,0.0,1.173,373.66,43
P1270,building,139.85,28,good,0.772,1,0.195,0.132,0,0.0,1.142,159.7,33
P1271,building,306.49,21,moderate,0.315,2,0.106,0.197,1,0.03,0.732,224.24,31
P1272,building,188.62,41,moderate,0.457,1,0.066,0.237,0,0.0,0.639,120.59,55
P1273,building,201.37,34,good,0.788,1,0.112,0.3,0,0.0,1.245,250.73,41
P1274,bridge,318.32,49,poor,0.69,0,0.31,0.643,2,73.29,1.571,500.11,70
P1275,bridge,285.55,34,good,0.742,0,0.382,0.601,0,0.0,2.258,644.85,42
P1276,building,249.49,28,good,0.787,0,0.199,0.696,2,16.03,1.796,448.01,34
P1277,bridge,289.35,31,poor,0.819,0,0.763,0.363,0,0.0,3.949,1142.67,46
P1278,building,272.65,20,good,0.851,3,0.181,0.824,0,0.0,1.883,513.35,29
P1279,building,239.82,13,moderate,0.678,0,0.227,0.204,0,0.0,1.219,292.25,16
P1280,building,222.39,36,good,0.678,0,0.095,0.469,0,0.0,0.541,120.27,42
P1281,road,103.23,20,good,0.667,0,0.218,0.801,2,9.11,1.252,129.25,25
P1282,road,117.84,33,poor,0.75,0,0.411,0.18,2,3.85,1.713,201.86,46
P1283,road,200.77,15,good,0.834,1,0.559,0.11,1,1.03,1.702,341.76,19
P1284,bridge,492.93,43,poor,0.794,0,0.344,0.884,1,12.07,2.319,1143.12,63
P1285,road,100.38,40,good,0.948,0,0.052,0.343,0,0.0,1.225,122.92,43
P1286,road,154.43,45,good,0.658,2,0.084,0.684,0,0.0,0.728,112.48,61
P1287,bridge,544.87,40,good,0.955,2,0.051,0.025,1,7.44,1.4,762.92,47
P1288,road,76.11,22,moderate,0.518,0,0.123,0.69,1,3.04,1.35,102.77,29
P1289,bridge,501.37,23,good,0.618,3,0.164,0.316,1,22.29,1.936,970.47,32
P1290,road,113.86,29,poor,0.375,1,0.097,0.056,1,1.3,1.078,122.79,42
P1291,road,186.46,32,moderate,0.553,1,0.339,0.61,2,6.33,1.539,286.99,46
P1292,building,180.31,47,poor,0.822,4,0.103,0.241,0,0.0,3.063,552.24,76
P1293,road,72.1,45,good,0.706,1,0.294,0.387,0,0.0,0.751,54.18,57
P1294,road,77.4,28,poor,0.836,0,0.378,0.081,0,0.0,1.471,113.88,38
P1295,bridge,411.26,54,moderate,0.736,1,0.195,0.147,1,13.51,1.095,450.24,70
P1296,building,271.48,36,moderate,0.465,1,0.436,0.298,0,0.0,1.347,365.63,52
P1297,road,103.37,23,poor,0.68,0,0.307,0.09,1,4.75,0.797,82.43,31
P1298,bridge,520.84,40,moderate,0.896,0,0.158,0.911,0,0.0,2.686,1399.05,52
P1299,road,76.35,33,moderate,0.74,0,0.208,0.006,0,0.0,1.044,79.69,40
